0.4185786	0.4633396	0.3612704	6.662639	59.6564	42.61303	0.07695027	0.7043659	2.118192	0.1857143	1.528571	5.642857
0.3726498	0.3754209	0.3487188	11.41076	39.39607	42.89963	0.06299246	0.3168995	1.983536	0.1594203	0.8405797	5.507246
0.5133227	0.5322157	0.3597805	2.670237	15.74442	43.16625	0.02504013	0.08975527	0.9282525	0.04878049	0.1707317	2.365854
0.234906	0.5106908	0.3204747	1.358616	11.85978	42.31616	0.005338773	0.1521684	1.050793	0.02272727	0.2954545	3.227273
0.312256	0.3859949	0.357413	4.749271	42.26258	47.04553	0.03241	0.2605806	2.046447	0.1025641	0.6666667	5.74359
NaN	0.310477	0.2802452	0	54.86656	46.76523	0	0.1882836	1.087215	0	0.5853659	3.878049
0.3597224	0.5514942	0.3238986	2.661436	11.03465	40.24229	0.009223651	0.1351635	0.7655901	0.02564103	0.2564103	2.358974
0.4197155	0.3692463	0.3318255	2.68105	16.59766	39.42305	0.01023696	0.09006008	0.9357892	0.02439024	0.2439024	2.829268
0.199845	0.3292288	0.3300805	2.885177	40.53572	28.97835	0.005259079	0.1434514	0.9772104	0.02631579	0.4210526	2.815789
0.3641488	0.3770631	0.3446396	19.76321	30.10981	37.36035	0.1279232	0.1776143	2.639418	0.3424658	0.4794521	7.684932
0.3658187	0.3306485	0.3164313	23.52746	27.89533	37.52711	0.1794967	0.2506668	2.662464	0.5	0.7878788	8.318182
0.2578319	0.3727899	0.323349	18.67591	16.20891	37.52711	0.05738438	0.1060055	1.049772	0.2162162	0.2972973	3.108108
0.4139933	0.5353054	0.3592013	15.47861	14.78981	38.70783	0.07803011	0.07972634	1.207224	0.1914894	0.1489362	3.361702
0.3348323	0.5604632	0.3003671	5.804278	12.05782	37.09672	0.01366662	0.1372563	0.654625	0.04081633	0.244898	2.061224
0.475095	0.3899746	0.3739057	30.55654	18.43376	38.34165	0.2201958	0.1238482	1.475673	0.452381	0.3095238	3.880952
