7.342857	2.893032	0.3866116	296.072	38.13302
6.492754	2.354346	0.3508541	319.3079	45.41594
2.560976	1.02939	0.3717745	148.7848	47.44545
3.522727	1.20331	0.3340448	160.9111	42.25472
6.487179	2.324576	0.3605658	334.8678	50.35153
4.439024	1.270745	0.2879389	243.2867	53.67535
2.615385	0.9045973	0.3456207	113.0752	38.69408
3.02381	1.001894	0.332216	177.7945	54.81016
3.236842	1.108298	0.3323724	172.4688	48.17985
8.493151	2.942424	0.346062	421.5171	50.49587
9.590909	3.087857	0.3184771	372.7124	38.08643
3.594595	1.20938	0.3351302	172.5137	46.82696
3.680851	1.358815	0.3669017	243.0757	59.06097
2.326531	0.8023921	0.3340767	136.6201	52.31441
4.619048	1.812937	0.3825781	248.6289	47.71245
