2.923077	1.177336	0.3679616	155.1796	47.74141
1.712121	0.4839458	0.2569578	152.9944	53.62579
3.130435	1.127167	0.3240679	154.0439	42.07115
2.227273	0.8478003	0.344679	139.0842	51.17045
9.537313	3.210915	0.3332298	504.7311	50.87106
2.468085	0.6657359	0.2492961	155.1023	54.53093
2.754098	0.7992477	0.2697053	188.5322	55.13237
3.608696	1.316274	0.3402058	232.6642	49.34558
3.444444	1.141865	0.3265373	149.341	42.3401
3.560976	1.340261	0.3571786	172.3361	42.17344
3.933333	1.408107	0.3506258	231.7432	57.53853
6.368421	2.088717	0.323889	377.3683	56.20594
4.35	1.501054	0.3325985	223.3698	47.33662
3.909091	1.434385	0.3690726	182.6677	45.22032
3.877551	1.350509	0.3375058	242.4052	58.13771
